Name and Cultivars or Varieties (sorted by name),$/kg,kg/m3,$/m3
Lettuce (Lactuca sativa Quercifolia Group): 'Radichetta',10.59602649,4.43683149,47.012784
"Cabbage, Chinese Napa {Brassica rapa, Pekinensis group}: 'Minuet'",6.600441501,7.21594572,47.6284276
"Eggplant, Japanese {Solanum melongena}: 'Little Fingers'",8.80794702,5.46071568,48.0976944
"Lettuce, Winter Mixed {Lactuca sativa}: 4 cultivars",8.830022075,5.65574124,49.94032
"Onion, Bulb Cipollini {Allium cepa}: Borettana/Borrettana Cipollini",13.24503311,3.99802398,52.95396
"Grass, Lemon {Cymbopogon citratus}",11.01545254,4.875639,53.70737
"Rhubarb {Rheum rhabarbarum, R. rhaponticum and others}",8.80794702,6.24081792,54.9687936
Cilantro {Coriandrum sativum}: Slow bolting,8.833922261,6.460415409,57.0708075
"Lettuce, Summer Mixed {Lactuca sativa}: 7 cultivars",4.392935982,13.01795613,57.1870479
"Chard, Swiss {Beta vulgaris, Cicla group}: (1) 'Bright Yellow' (2) 'Charlotte' (3) 'Fordhook Giant'",5.518763797,10.7264058,59.1965
"Bean, Snap Pole {Phaseolus vulgaris}: 'Kentucky Wonder'",8.80794702,6.92340738,60.9810054
"Pepper, Misc. {Capsicum annuum}: (1) 'Antohi Romanian' sweet pimento",15.43046358,3.99802398,61.6913634
"Brussels Sprouts {Brassica oleracea, Gemmifera group}: 'Long Island Improved'",10.59602649,5.8507668,61.99488
"Choi, Pac/Bok {Brassica rapa var. Chinensis}: Snow man Baby bok choy",6.600441501,9.40998327,62.1100441
Beet {Beta vulgaris}: 'Golden Detroit',6.600441501,9.60500883,63.3972989
"Pepper, JalapeÐo/Jalapeno {Capsicum annuum var annuum 'Jalapeno'}: 'Jalapa'",15.43046358,4.3880751,67.710033
Basil {Ocimum basilicum}: 'Cinnamon',42.40282686,1.608250512,68.194368
"Peas, Snow {Pisum sativum var. macrocarpon}: (1) 'Oregon Sugar Pod II' (2) 'Oregon Giant'",15.43046358,4.43683149,68.4623667
"Bean, Runner {Phaseolus coccineus: (1) Scarlet unknown var. [fr. Ed Hume]",7.947019868,8.87366298,70.519176
Beet {Beta vulgaris}: 'Red Ace',6.622516556,11.16521331,73.94181
"Squash, Winter, Buttercup {Cucurbita maxima; Buttercup/Kabocha type}: 'Gold Nugget'",5.298013245,13.99308393,74.135544
"Endive, Batavian {Cichorium endiva}",15.43046358,5.07066456,78.2427048
Pumpkin {Cucurbita pepo}: 'Howden',2.649006623,30.03393624,79.560096
"Squash, Summer, Zucchini {Cucurbita pepo L.}: 'Jackpot'",6.600441501,13.45676364,88.8205812
Basil {Ocimum basilicum}: 'Italian Large Leaf',35.33568905,2.77179539,97.9433
Tomatillo {Physalis ixocarpa; Mexican or Mayan Husk Tomato}: 'Mexican strain',10.59602649,9.50749605,100.74168
Cucumber {Cucumis sativus}: (1) 'Diva' (2) 'Northern Pickling' (3) 'Cool Breeze',6.600441501,15.6020448,102.980384
"Tomato, large {Solanum lycopersicum}: (1) 'Big Beef' (2) 'Siletz'",8.80794702,12.33536667,108.6492561
"Squash, Winter, Spaghetti {Cucurbita pepo}: 'Vegetable'",5.298013245,20.67270936,109.524288
Carrots {Daucus carota subspecies sativa}: 'Nelson' F1,6.600441501,17.30851845,114.2438635
Corn Salad {Valerianella locusta L.},56.53710247,2.056002075,116.2404
"Squash, Summer, Patty Pan {Cucurbita pepo}: 'Sunburst' (F1)",6.600441501,19.40504322,128.0818526
"Lettuce, Spring/Fall Mixed {Lactuca sativa}: 8 cultivars",18.54304636,7.45972767,138.326076
Chives {Allium schoenoprasum},117.3144876,1.2183716,142.93264
"Tomato, Cherry, small andæ` medium {Solanum lycopersicum}: (1) 'Sungold'",11.74392936,12.6766614,148.873816
"Broccoli Raab/Rabe {Brassica rapa, Ruvo group}: 'Zamboni'",6.600441501,23.59809276,155.7578308
"Squash, Summer, Zucchini {Cucurbita pepo L.}: 'Italiano largo' hybrid",6.600441501,25.59710475,168.9521925
Arugula-Roquette {Eruca vesicaria subsp. sativa},21.20141343,9.646457143,204.518526
Turnip {Brassica rapa}: 'Purple Top' aka 'White Globe',6.600441501,32.32548657,213.3624831
"Greens, All Greens Mix: Green Salad Mix",15.43046358,19.16126127,295.6671441
